Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details",Status,"Availability Date"
"17 June, 2026",VAT,"VAT: Processing Fee","Order #4090712056",TRY,--,"-127.43 TL","-127.43 TL",--
"17 June, 2026",VAT,"VAT: Regulatory Operating fee",,TRY,--,"-40.58 TL","-40.58 TL",--
"17 June, 2026",VAT,"VAT: shipping transaction",,TRY,--,"-60.21 TL","-60.21 TL",--
"17 June, 2026",VAT,"VAT: transaction","order: 4090712056",TRY,--,"-56.00 TL","-56.00 TL",--
"17 June, 2026",Fee,"Regulatory Operating fee","Order #4090712056",TRY,--,"-202.91 TL","-202.91 TL",--
"17 June, 2026",Fee,"Transaction fee: Shipping","Order #4090712056",TRY,--,"-301.05 TL","-301.05 TL",--
"17 June, 2026",Fee,"Transaction fee: Elegant Woman Relaxing in Bubble Bath Ca...","Order #4090712056",TRY,--,"-279.98 TL","-279.98 TL",--
"17 June, 2026",Tax,"Sales tax paid by buyer","Order #4090712056",TRY,--,"-871.54 TL","-871.54 TL",--
"17 June, 2026",Fee,"Processing fee","Order #4090712056",TRY,--,"-637.15 TL","-637.15 TL",--
"17 June, 2026",Sale,"Payment for Order #4090712056","Funds will be available on Jun 30, 2026",TRY,"9,586.98 TL",--,"9,586.98 TL",--
"17 June, 2026",VAT,"VAT: auto-renew sold ","auto-renew sold : 4504346627",TRY,--,"-1.85 TL","-1.85 TL",--
"17 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4504346627",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522924682",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522924682",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522924434",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522924434",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522917182",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522917182",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522908691",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522908691",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522897616",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522897616",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522890191",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522890191",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522898902",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522898902",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522897354",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522897354",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522898194",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522898194",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522897892",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522897892",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522888783",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522888783",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522794086",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522794086",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522785105",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522785105",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522792364",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522792364",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522789774",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522789774",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522790298",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522790298",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522782317",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522782317",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522782105",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522782105",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522781727",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522781727",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522779117",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522779117",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522779323",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522779323",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522787268",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522787268",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522787436",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522787436",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522779811",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522779811",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522774401",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522774401",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522749375",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522749375",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522749179",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522749179",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522748901",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522748901",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522752782",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522752782",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522752580",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522752580",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522735235",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522735235",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: listing","listing: 4522743186",TRY,--,"-1.85 TL","-1.85 TL",--
"16 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522743186",TRY,--,"-9.26 TL","-9.26 TL",--
"16 June, 2026",VAT,"VAT: Etsy Ads",,TRY,--,"-231.51 TL","-231.51 TL",--
"16 June, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jun 15, 2026",TRY,--,"-1,157.54 TL","-1,157.54 TL",--
"15 June, 2026",VAT,"VAT: listing","listing: 4522381335",TRY,--,"-1.85 TL","-1.85 TL",--
"15 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522381335",TRY,--,"-9.26 TL","-9.26 TL",--
"15 June, 2026",VAT,"VAT: listing","listing: 4522388022",TRY,--,"-1.85 TL","-1.85 TL",--
"15 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522388022",TRY,--,"-9.26 TL","-9.26 TL",--
"15 June, 2026",VAT,"VAT: listing","listing: 4522388538",TRY,--,"-1.85 TL","-1.85 TL",--
"15 June, 2026",Fee,"Listing fee ($0.20 USD)","Listing #4522388538",TRY,--,"-9.26 TL","-9.26 TL",--
